CityName,Date,No_of_complain_received,No_of_complain_disposed,No_of_complain_pending
Surat,23-06-2017,1811,666,1145
Surat,24-06-2017,1395,250,1145
Surat,25-06-2017,1303,157,1146
Surat,26-06-2017,1406,260,1146
Surat,27-06-2017,1988,842,1146
Surat,28-06-2017,1955,809,1146
Surat,29-06-2017,1729,583,1146
Surat,30-06-2017,1604,458,1146
Surat,01-07-2017,1850,704,1146
Surat,02-07-2017,1315,169,1146
Surat,03-07-2017,1847,701,1146
Surat,04-07-2017,1896,750,1146
Surat,05-07-2017,1726,580,1146
Surat,06-07-2017,1811,665,1146
Surat,07-07-2017,1757,611,1146
Surat,08-07-2017,1390,244,1146
Surat,09-07-2017,1244,98,1146
Surat,10-07-2017,2047,901,1146
Surat,11-07-2017,1777,631,1146
Surat,12-07-2017,1639,492,1147
Surat,13-07-2017,1651,503,1148
Surat,14-07-2017,1720,572,1148
Surat,15-07-2017,1686,537,1149
Surat,16-07-2017,1281,132,1149
Surat,17-07-2017,1740,591,1149
Surat,18-07-2017,1638,489,1149
Surat,19-07-2017,1694,545,1149
Surat,20-07-2017,1675,526,1149
Surat,21-07-2017,1585,436,1149
Surat,22-07-2017,1420,270,1150
Surat,23-07-2017,1254,104,1150
Surat,24-07-2017,1793,643,1150
Surat,25-07-2017,1879,729,1150
Surat,26-07-2017,1739,585,1154
Surat,27-07-2017,1829,673,1156
Surat,28-07-2017,1682,524,1158
Surat,29-07-2017,1778,620,1158
Surat,30-07-2017,1362,204,1158
Surat,31-07-2017,1753,588,1165
Surat,01-08-2017,1783,618,1165
Surat,02-08-2017,2059,894,1165
Surat,03-08-2017,1887,721,1166
Surat,04-08-2017,1837,671,1166
Surat,05-08-2017,1845,679,1166
Surat,06-08-2017,1328,162,1166
Surat,07-08-2017,1325,159,1166
Surat,08-08-2017,1975,808,1167
Surat,09-08-2017,1901,733,1168
Surat,10-08-2017,1867,698,1169
Surat,11-08-2017,1816,647,1169
Surat,12-08-2017,1573,404,1169
Surat,13-08-2017,1311,139,1172
Surat,14-08-2017,1946,774,1172
Surat,15-08-2017,1335,163,1172
Surat,16-08-2017,1729,555,1174
Surat,17-08-2017,1479,305,1174
Surat,18-08-2017,1834,658,1176
Surat,19-08-2017,1780,603,1177
Surat,20-08-2017,1365,185,1180
Surat,21-08-2017,1751,567,1184
Surat,22-08-2017,1946,758,1188
Surat,23-08-2017,1796,605,1191
Surat,24-08-2017,2010,817,1193
Surat,25-08-2017,1327,134,1193
Surat,26-08-2017,1457,259,1198
Surat,27-08-2017,1320,121,1199
Surat,28-08-2017,1934,725,1209
Surat,29-08-2017,2001,788,1213
Surat,30-08-2017,2014,795,1219
Surat,31-08-2017,1707,481,1226
Surat,01-09-2017,1929,697,1232
Surat,02-09-2017,1459,220,1239
Surat,03-09-2017,1482,239,1243
Surat,04-09-2017,1960,704,1256
Surat,05-09-2017,1440,177,1263
Surat,06-09-2017,1958,666,1292
Surat,07-09-2017,2062,758,1304
Surat,08-09-2017,1824,476,1348
Surat,09-09-2017,1743,379,1364
Surat,10-09-2017,1514,138,1376
Surat,11-09-2017,2323,895,1428
Surat,12-09-2017,2187,722,1465
Surat,13-09-2017,2185,693,1492
Surat,14-09-2017,2028,474,1554
Surat,15-09-2017,2106,567,1539
Surat,16-09-2017,2192,639,1553
Surat,17-09-2017,1718,139,1579
Surat,18-09-2017,2314,704,1610
Surat,19-09-2017,2493,917,1576
Surat,20-09-2017,2131,592,1539
Surat,21-09-2017,2243,666,1577
Surat,22-09-2017,2101,534,1567
Surat,23-09-2017,1844,262,1582
Surat,24-09-2017,1767,172,1595
Surat,25-09-2017,2180,530,1650
Surat,26-09-2017,2491,795,1696
Surat,27-09-2017,2261,598,1663
Surat,28-09-2017,2127,447,1680
Surat,29-09-2017,2278,567,1711
Surat,30-09-2017,1948,236,1712
Surat,01-10-2017,1846,135,1711
Surat,02-10-2017,1834,165,1669
Surat,03-10-2017,2481,767,1714
Surat,04-10-2017,2318,695,1623
Surat,05-10-2017,2106,506,1600
Surat,06-10-2017,2133,486,1647
Surat,07-10-2017,2283,632,1651
Surat,08-10-2017,1909,251,1658
Surat,09-10-2017,2402,719,1683
Surat,10-10-2017,2336,705,1631
Surat,11-10-2017,2463,866,1597
Surat,12-10-2017,2140,504,1636
Surat,13-10-2017,2223,526,1697
Surat,14-10-2017,2038,289,1749
Surat,15-10-2017,2034,217,1817
Surat,16-10-2017,2622,807,1815
Surat,17-10-2017,2594,795,1799
Surat,18-10-2017,2396,661,1735
Surat,19-10-2017,1912,252,1660
Surat,20-10-2017,1659,38,1621
Surat,21-10-2017,1751,134,1617
Surat,22-10-2017,1735,112,1623
Surat,23-10-2017,2217,569,1648
Surat,24-10-2017,2145,474,1671
Surat,25-10-2017,2168,516,1652
Surat,26-10-2017,2009,445,1564
Surat,27-10-2017,1920,373,1547
Surat,28-10-2017,1738,173,1565
Surat,29-10-2017,1658,76,1582
Surat,30-10-2017,1949,370,1579
Surat,31-10-2017,1704,168,1536
Surat,01-11-2017,2065,541,1524
Surat,02-11-2017,1952,476,1476
Surat,03-11-2017,2021,559,1462
Surat,04-11-2017,1691,213,1478
Surat,05-11-2017,1588,97,1491
Surat,06-11-2017,2080,577,1503
Surat,07-11-2017,2145,642,1503
Surat,08-11-2017,1868,433,1435
Surat,09-11-2017,2019,567,1452
Surat,10-11-2017,1842,375,1467
Surat,11-11-2017,1675,205,1470
Surat,12-11-2017,1556,85,1471
Surat,13-11-2017,1965,510,1455
Surat,14-11-2017,2065,638,1427
Surat,15-11-2017,1905,510,1395
Surat,16-11-2017,1699,308,1391
Surat,17-11-2017,1746,378,1368
Surat,18-11-2017,1781,405,1376
Surat,19-11-2017,1498,120,1378
Surat,20-11-2017,1905,514,1391
Surat,21-11-2017,1847,478,1369
Surat,22-11-2017,1754,439,1315
Surat,23-11-2017,1703,393,1310
Surat,24-11-2017,1675,357,1318
Surat,25-11-2017,1533,197,1336
Surat,26-11-2017,1495,143,1352
Surat,27-11-2017,1829,448,1381
Surat,28-11-2017,1951,581,1370
Surat,29-11-2017,1784,392,1392
Surat,30-11-2017,1701,320,1381
Surat,01-12-2017,1785,390,1395
Surat,02-12-2017,1612,194,1418
Surat,03-12-2017,1562,123,1439
Surat,04-12-2017,1849,406,1443
Surat,05-12-2017,1847,419,1428
Surat,06-12-2017,1797,414,1383
Surat,07-12-2017,1824,435,1389
Surat,08-12-2017,1597,197,1400
Surat,09-12-2017,1457,68,1389
Surat,10-12-2017,1579,177,1402
Surat,11-12-2017,1947,507,1440
Surat,12-12-2017,2005,605,1400
Surat,13-12-2017,1823,475,1348
Surat,14-12-2017,1698,337,1361
Surat,15-12-2017,1846,489,1357
Surat,16-12-2017,1698,323,1375
Surat,17-12-2017,1557,170,1387
Surat,18-12-2017,1871,451,1420
Surat,19-12-2017,1990,565,1425
Surat,20-12-2017,1901,475,1426
Surat,21-12-2017,1780,334,1446
Surat,22-12-2017,1842,403,1439
Surat,23-12-2017,1711,246,1465
Surat,24-12-2017,1605,131,1474
Surat,25-12-2017,1638,170,1468
Surat,26-12-2017,2064,574,1490
Surat,27-12-2017,1843,453,1390
Surat,28-12-2017,1818,411,1407
Surat,29-12-2017,1802,380,1422
Surat,30-12-2017,1820,392,1428
Surat,31-12-2017,1541,121,1420
Surat,01-01-2018,1919,470,1449
Surat,02-01-2018,1964,525,1439
Surat,03-01-2018,1774,424,1350
Surat,04-01-2018,1691,323,1368
Surat,05-01-2018,1733,371,1362
Surat,06-01-2018,1773,365,1408
Surat,07-01-2018,1519,95,1424
Surat,08-01-2018,1904,452,1452
Surat,09-01-2018,2021,548,1473
Surat,10-01-2018,1934,466,1468
Surat,11-01-2018,1782,313,1469
Surat,12-01-2018,1831,343,1488
Surat,13-01-2018,1717,229,1488
Surat,14-01-2018,1580,96,1484
Surat,15-01-2018,1903,411,1492
Surat,16-01-2018,1845,411,1434
Surat,17-01-2018,1824,431,1393
Surat,18-01-2018,1718,331,1387
Surat,19-01-2018,1784,385,1399
Surat,20-01-2018,1866,439,1427
Surat,21-01-2018,1546,97,1449
Surat,22-01-2018,1987,511,1476
Surat,23-01-2018,2273,713,1560
Surat,24-01-2018,1873,365,1508
Surat,25-01-2018,1861,369,1492
Surat,26-01-2018,1633,162,1471
Surat,27-01-2018,1668,202,1466
Surat,28-01-2018,1629,175,1454
Surat,29-01-2018,1995,499,1496
Surat,30-01-2018,2034,541,1493
Surat,31-01-2018,1928,396,1532
Surat,01-02-2018,1917,385,1532
Surat,02-02-2018,1975,412,1563
Surat,03-02-2018,1970,399,1571
Surat,04-02-2018,1700,108,1592
Surat,05-02-2018,1952,404,1548
Surat,06-02-2018,1970,434,1536
Surat,07-02-2018,1821,374,1447
Surat,08-02-2018,1843,389,1454
Surat,09-02-2018,1912,420,1492
Surat,10-02-2018,1729,217,1512
Surat,11-02-2018,1652,110,1542
Surat,12-02-2018,2251,716,1535
Surat,13-02-2018,1708,226,1482
Surat,14-02-2018,1988,597,1391
Surat,15-02-2018,1809,350,1459
Surat,16-02-2018,1761,289,1472
Surat,17-02-2018,1798,334,1464
Surat,18-02-2018,1604,117,1487
Surat,19-02-2018,2109,598,1511
Surat,20-02-2018,2080,652,1428
Surat,21-02-2018,1820,434,1386
Surat,22-02-2018,1763,365,1398
Surat,23-02-2018,1756,320,1436
Surat,24-02-2018,1748,326,1422
Surat,25-02-2018,1493,99,1394
Surat,26-02-2018,2144,740,1404
Surat,27-02-2018,1963,549,1414
Surat,28-02-2018,1844,465,1379
Surat,01-03-2018,1648,293,1355
Surat,02-03-2018,1425,94,1331
Surat,03-03-2018,1787,463,1324
Surat,04-03-2018,1530,192,1338
Surat,05-03-2018,1995,645,1350
Surat,06-03-2018,1839,501,1338
Surat,07-03-2018,1840,549,1291
Surat,08-03-2018,1721,416,1305
Surat,09-03-2018,1845,504,1341
Surat,10-03-2018,1701,367,1334
Surat,11-03-2018,1561,211,1350
Surat,12-03-2018,1941,579,1362
Surat,13-03-2018,1971,620,1351
Surat,14-03-2018,1891,550,1341
Surat,15-03-2018,1623,294,1329
Surat,16-03-2018,1708,404,1304
Surat,17-03-2018,1721,413,1308
Surat,18-03-2018,1501,172,1329
Surat,19-03-2018,1911,571,1340
Surat,20-03-2018,1949,610,1339
Surat,21-03-2018,1703,425,1278
Surat,22-03-2018,1802,515,1287
Surat,23-03-2018,1659,346,1313
Surat,24-03-2018,1592,265,1327
Surat,25-03-2018,1423,102,1321
Surat,26-03-2018,1876,529,1347
Surat,27-03-2018,1902,555,1347
Surat,28-03-2018,1888,534,1354
Surat,29-03-2018,1537,173,1364
Surat,30-03-2018,1574,204,1370
Surat,31-03-2018,1780,370,1410
Surat,01-04-2018,1549,91,1458
Surat,02-04-2018,2022,548,1474
Surat,03-04-2018,2124,644,1480
Surat,04-04-2018,1871,470,1401
Surat,05-04-2018,1739,331,1408
Surat,06-04-2018,1732,343,1389
Surat,07-04-2018,1706,297,1409
Surat,08-04-2018,1569,138,1431
Surat,09-04-2018,2011,561,1450
Surat,10-04-2018,2090,654,1436
Surat,11-04-2018,1957,475,1482
Surat,12-04-2018,1819,321,1498
Surat,13-04-2018,1864,350,1514
Surat,14-04-2018,1559,165,1394
Surat,15-04-2018,1549,165,1384
Surat,16-04-2018,2028,617,1411
Surat,17-04-2018,1879,482,1397
Surat,18-04-2018,1562,187,1375
Surat,19-04-2018,1710,394,1316
Surat,20-04-2018,1833,510,1323
Surat,21-04-2018,1889,558,1331
Surat,22-04-2018,1452,99,1353
Surat,23-04-2018,1963,584,1379
Surat,24-04-2018,1903,513,1390
Surat,25-04-2018,1846,451,1395
Surat,26-04-2018,1853,508,1345
Surat,27-04-2018,1699,325,1374
Surat,28-04-2018,1604,226,1378
Surat,29-04-2018,1506,116,1390
Surat,30-04-2018,1933,531,1402
Surat,01-05-2018,1814,430,1384
Surat,02-05-2018,1934,580,1354
Surat,03-05-2018,1970,577,1393
Surat,04-05-2018,1723,297,1426
Surat,05-05-2018,1707,268,1439
Surat,06-05-2018,1563,108,1455
Surat,07-05-2018,1919,454,1465
Surat,08-05-2018,2108,638,1470
Surat,09-05-2018,1896,509,1387
Surat,10-05-2018,1645,280,1365
Surat,11-05-2018,1649,291,1358
Surat,12-05-2018,1553,186,1367
Surat,13-05-2018,1462,89,1373
Surat,14-05-2018,1917,543,1374
Surat,15-05-2018,1987,631,1356
Surat,16-05-2018,1943,609,1334
Surat,17-05-2018,1658,298,1360
Surat,18-05-2018,1739,351,1388
Surat,19-05-2018,1748,335,1413
Surat,20-05-2018,1542,101,1441
Surat,21-05-2018,2053,578,1475
Surat,22-05-2018,2003,530,1473
Surat,23-05-2018,1984,511,1473
Surat,24-05-2018,1767,282,1485
Surat,25-05-2018,1858,359,1499
Surat,26-05-2018,1813,291,1522
Surat,27-05-2018,1647,118,1529
Surat,28-05-2018,2133,603,1530
Surat,29-05-2018,2016,502,1514
Surat,30-05-2018,1864,423,1441
Surat,31-05-2018,1872,427,1445
Surat,01-06-2018,1865,417,1448
Surat,02-06-2018,1872,422,1450
Surat,03-06-2018,1688,186,1502
Surat,04-06-2018,2257,759,1498
Surat,05-06-2018,2287,789,1498
Surat,06-06-2018,2412,954,1458
Surat,07-06-2018,1905,433,1472
Surat,08-06-2018,2011,545,1466
Surat,09-06-2018,1801,328,1473
Surat,10-06-2018,1665,163,1502
Surat,11-06-2018,2409,883,1526
Surat,12-06-2018,2571,1078,1493
Surat,13-06-2018,2211,785,1426
Surat,14-06-2018,1893,440,1453
Surat,15-06-2018,2053,587,1466
Surat,16-06-2018,1820,323,1497
Surat,17-06-2018,1680,164,1516
Surat,18-06-2018,2430,912,1518
Surat,19-06-2018,2513,1011,1502
Surat,20-06-2018,2143,701,1442
Surat,21-06-2018,1977,530,1447
Surat,22-06-2018,1996,532,1464
Surat,23-06-2018,1851,389,1462
Surat,24-06-2018,1659,182,1477
Surat,25-06-2018,2448,943,1505
Surat,26-06-2018,2425,944,1481
Surat,27-06-2018,2441,927,1514
Surat,28-06-2018,2164,608,1556
Surat,29-06-2018,2333,738,1595
Surat,30-06-2018,2335,734,1601
Surat,01-07-2018,1864,244,1620
Surat,02-07-2018,2545,909,1636
Surat,03-07-2018,2446,897,1549
Surat,04-07-2018,2329,839,1490
Surat,05-07-2018,2343,837,1506
Surat,06-07-2018,2292,771,1521
Surat,07-07-2018,2239,714,1525
Surat,08-07-2018,1836,299,1537
Surat,09-07-2018,2714,1139,1575
Surat,10-07-2018,2600,1059,1541
Surat,11-07-2018,2444,926,1518
Surat,12-07-2018,2117,625,1492
Surat,13-07-2018,2261,756,1505
Surat,14-07-2018,2044,524,1520
Surat,15-07-2018,1773,256,1517
Surat,16-07-2018,2557,1032,1525
Surat,17-07-2018,2772,1314,1458
Surat,18-07-2018,2468,1015,1453
Surat,19-07-2018,2191,712,1479
Surat,20-07-2018,2142,645,1497
Surat,21-07-2018,2355,837,1518
Surat,22-07-2018,1790,243,1547
Surat,23-07-2018,2744,1154,1590
Surat,24-07-2018,2921,1373,1548
Surat,25-07-2018,2091,599,1492
Surat,26-07-2018,2117,622,1495
Surat,27-07-2018,2119,659,1460
Surat,28-07-2018,1952,512,1440
Surat,29-07-2018,1700,261,1439
Surat,30-07-2018,2489,1023,1466
Surat,31-07-2018,2544,1013,1531
Surat,01-08-2018,2515,1011,1504
